deal_ym,aptNm,umdNm,dealAmount_raw,dealYear,dealMonth,dealDay,excluUseAr_raw,floor_raw,buildYear_raw,cdealType,cdealDay,roadNm,price,area_m2,floor,buildYear,date
201704,동탄역모아미래도,청계동,"43,000",2017,4,25,84.9982,7,2015,,,동탄청계로,43000,84.9982,7,2015,2017-04-25
201704,동탄역시범호반써밋,청계동,"51,000",2017,4,28,84.9537,6,2015,,,동탄대로시범길,51000,84.9537,6,2015,2017-04-28
201704,KCC스위첸아파트,청계동,"42,400",2017,4,24,84.11,23,2015,,,동탄청계로,42400,84.11,23,2015,2017-04-24
201704,동탄역 시범우남퍼스트빌아파트,청계동,"42,700",2017,4,9,59.95,6,2015,,,동탄대로시범길,42700,59.95,6,2015,2017-04-09
201704,동탄역시범호반써밋,청계동,"48,000",2017,4,15,84.9698,12,2015,,,동탄대로시범길,48000,84.9698,12,2015,2017-04-15
201704,동탄역 시범우남퍼스트빌아파트,청계동,"58,300",2017,4,15,84.94,16,2015,,,동탄대로시범길,58300,84.94,16,2015,2017-04-15
201704,동탄역시범호반써밋,청계동,"48,000",2017,4,1,84.9698,1,2015,,,동탄대로시범길,48000,84.9698,1,2015,2017-04-01
201704,롯데캐슬 알바트로스,청계동,"54,800",2017,4,25,122.9736,26,2015,,,동탄순환대로21길,54800,122.9736,26,2015,2017-04-25
201704,동탄역이지더원,영천동,"32,900",2017,4,15,59.9792,6,2015,,,동탄순환대로28길,32900,59.9792,6,2015,2017-04-15
201704,동탄역신안인스빌리베라1차,청계동,"52,250",2017,4,3,101.9997,11,2015,,,동탄순환대로21길,52250,101.9997,11,2015,2017-04-03
201704,동탄역 신미주,오산동,"28,500",2017,4,22,84.896,4,2005,,,동탄감배산로,28500,84.896,4,2005,2017-04-22
201704,동탄역이지더원,영천동,"33,300",2017,4,19,84.9731,11,2015,,,동탄순환대로28길,33300,84.9731,11,2015,2017-04-19
201704,동탄역이지더원,영천동,"34,240",2017,4,19,84.9731,15,2015,,,동탄순환대로28길,34240,84.9731,15,2015,2017-04-19
201704,동탄역 시범우남퍼스트빌아파트,청계동,"42,500",2017,4,10,59.98,3,2015,,,동탄대로시범길,42500,59.98,3,2015,2017-04-10
201704,동탄역이지더원,영천동,"31,500",2017,4,10,59.9792,7,2015,,,동탄순환대로28길,31500,59.9792,7,2015,2017-04-10
201704,동탄역이지더원,영천동,"31,500",2017,4,6,59.9792,7,2015,,,동탄순환대로28길,31500,59.9792,7,2015,2017-04-06
201704,동탄역포레너스,영천동,"38,390",2017,4,15,84.5202,6,2017,,,동탄대로24길,38390,84.5202,6,2017,2017-04-15
201704,동탄역 시범우남퍼스트빌아파트,청계동,"56,700",2017,4,6,84.94,14,2015,,,동탄대로시범길,56700,84.94,14,2015,2017-04-06
201704,롯데캐슬 알바트로스,청계동,"54,000",2017,4,6,101.9959,28,2015,,,동탄순환대로21길,54000,101.9959,28,2015,2017-04-06
201704,동탄역이지더원,영천동,"33,000",2017,4,10,59.9792,14,2015,,,동탄순환대로28길,33000,59.9792,14,2015,2017-04-10
201704,동탄역반도유보라아이비파크2.0,영천동,"40,500",2017,4,1,84.96,8,2016,,,동탄순환대로26길,40500,84.96,8,2016,2017-04-01
201704,동탄역이지더원,영천동,"33,300",2017,4,5,84.9731,14,2015,,,동탄순환대로28길,33300,84.9731,14,2015,2017-04-05
201704,동탄역이지더원,영천동,"33,300",2017,4,5,84.9731,13,2015,,,동탄순환대로28길,33300,84.9731,13,2015,2017-04-05
201704,동탄역이지더원,영천동,"25,440",2017,4,5,59.9804,8,2015,,,동탄순환대로28길,25440,59.9804,8,2015,2017-04-05
201704,동탄역이지더원,영천동,"24,980",2017,4,5,59.9792,14,2015,,,동탄순환대로28길,24980,59.9792,14,2015,2017-04-05
201704,동탄역포레너스,영천동,"38,510",2017,4,5,84.5413,10,2017,,,동탄대로24길,38510,84.5413,10,2017,2017-04-05
201705,동탄역 시범우남퍼스트빌아파트,청계동,"57,800",2017,5,7,84.94,17,2015,,,동탄대로시범길,57800,84.94,17,2015,2017-05-07
201705,동탄역 시범우남퍼스트빌아파트,청계동,"54,450",2017,5,24,84.94,8,2015,,,동탄대로시범길,54450,84.94,8,2015,2017-05-24
201705,동탄역시범리슈빌아파트,청계동,"50,500",2017,5,13,84.87,12,2015,,,동탄대로시범길,50500,84.87,12,2015,2017-05-13
201705,더샵센트럴시티,청계동,"57,000",2017,5,21,84.796,24,2015,,,동탄대로시범길,57000,84.796,24,2015,2017-05-21
201705,동탄역시범호반써밋,청계동,"50,400",2017,5,19,84.9537,18,2015,,,동탄대로시범길,50400,84.9537,18,2015,2017-05-19
201705,동탄역시범호반써밋,청계동,"47,000",2017,5,24,84.9537,2,2015,,,동탄대로시범길,47000,84.9537,2,2015,2017-05-24
201705,동탄역경남아너스빌,영천동,"45,100",2017,5,28,84.0254,25,2016,,,동탄순환대로25길,45100,84.0254,25,2016,2017-05-28
201705,동탄역시범호반써밋,청계동,"52,900",2017,5,30,84.9537,13,2015,,,동탄대로시범길,52900,84.9537,13,2015,2017-05-30
